date,geography,geography code,Country of birth: Total; measures: Value,Country of birth: Europe; measures: Value,Country of birth: Europe: United Kingdom; measures: Value,Country of birth: Europe: EU countries; measures: Value,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Country of birth: Europe: Non-EU countries; measures: Value,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Country of birth: Africa; measures: Value,Country of birth: Middle East and Asia; measures: Value,Country of birth: The Americas and the Caribbean; measures: Value,Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value,Country of birth: British Overseas ; measures: Value
2021,Bolton 001A,E01004768,1595,1551,1530,18,13,5,0,0,3,3,10,30,2,2,0
2021,Bolton 001B,E01004803,1620,1580,1559,18,15,3,0,0,3,3,7,14,17,2,0
2021,Bolton 001C,E01004804,1469,1448,1423,20,11,8,1,0,5,5,8,8,3,2,0
2021,Bolton 001D,E01004807,1377,1359,1332,23,15,3,4,1,4,4,0,9,5,4,0
2021,Bolton 001E,E01004808,1619,1592,1568,19,14,3,1,1,5,5,10,12,3,2,0
2021,Bolton 002A,E01004788,1359,1336,1314,19,16,3,0,0,3,3,4,9,5,5,0
2021,Bolton 002B,E01004790,1417,1387,1356,23,16,5,2,0,8,8,7,20,1,2,0
2021,Bolton 002C,E01004805,1568,1545,1520,25,21,2,1,1,0,0,5,13,2,2,1
2021,Bolton 002D,E01004806,1517,1499,1479,17,13,3,1,0,3,3,6,7,4,1,0
2021,Bolton 002E,E01004810,1557,1516,1503,13,13,0,0,0,0,0,9,30,2,0,0
2021,Bolton 003A,E01004769,1503,1438,1412,25,22,2,1,0,1,1,25,33,2,5,0
2021,Bolton 003B,E01004770,1521,1405,1379,22,19,3,0,0,4,4,13,102,0,1,0
2021,Bolton 003C,E01004771,1686,1608,1586,18,13,1,2,2,4,4,13,58,6,1,0
2021,Bolton 003D,E01004773,1964,1788,1734,49,35,12,2,0,5,5,28,142,4,1,1
2021,Bolton 003E,E01004809,1725,1702,1671,29,23,3,3,0,2,2,4,12,5,2,0
2021,Bolton 004A,E01004777,1723,1680,1639,34,23,8,2,1,7,7,17,21,2,2,1
2021,Bolton 004B,E01004881,1482,1461,1426,32,12,13,7,0,3,3,1,17,1,2,0
2021,Bolton 004C,E01004888,1281,1252,1230,18,7,11,0,0,4,4,10,12,5,2,0
2021,Bolton 004D,E01004889,1431,1398,1372,25,10,13,1,1,1,1,21,5,6,1,0
2021,Bolton 004E,E01004890,1382,1351,1306,38,18,14,6,0,7,7,5,21,4,1,0
2021,Bolton 005A,E01004766,1656,1493,1453,35,20,11,2,2,5,5,29,122,12,0,0
2021,Bolton 005B,E01004767,1890,1630,1553,75,37,31,7,0,2,2,56,177,24,2,1
2021,Bolton 005C,E01004772,1848,1732,1624,106,68,27,9,2,2,2,52,58,6,0,0
2021,Bolton 005D,E01004774,1765,1635,1599,33,21,8,3,1,3,3,34,91,4,1,0
2021,Bolton 005E,E01004824,1884,1235,1173,62,45,13,4,0,0,0,72,574,3,0,0
2021,Bolton 006A,E01004784,1193,1175,1166,9,6,3,0,0,0,0,5,9,3,1,0
2021,Bolton 006B,E01004785,1524,1489,1449,35,24,11,0,0,5,5,13,17,4,0,1
2021,Bolton 006C,E01004786,1450,1430,1402,25,17,8,0,0,3,3,1,14,4,1,0
2021,Bolton 006D,E01004789,1452,1444,1429,14,12,0,1,1,1,1,2,3,2,1,0
2021,Bolton 006E,E01004791,1321,1309,1290,19,14,5,0,0,0,0,1,3,4,4,0
2021,Bolton 006F,E01004792,1410,1391,1365,18,14,2,0,2,8,8,4,10,3,2,0
2021,Bolton 007A,E01004779,1632,1592,1552,36,19,10,4,3,4,4,11,18,7,3,1
2021,Bolton 007B,E01004781,2134,1957,1878,70,29,40,1,0,9,9,54,110,10,3,0
2021,Bolton 007C,E01004882,1349,1323,1292,26,20,6,0,0,5,5,15,2,8,1,0
2021,Bolton 007D,E01004883,1761,1694,1653,38,19,9,9,1,3,3,5,55,6,1,0
2021,Bolton 007E,E01004884,1476,1438,1426,12,9,2,1,0,0,0,14,16,4,4,0
2021,Bolton 008A,E01004864,1466,1367,1314,50,30,20,0,0,3,3,15,73,10,1,0
