date,geography,geography code,Country of birth: Total; measures: Value,Country of birth: Europe; measures: Value,Country of birth: Europe: United Kingdom; measures: Value,Country of birth: Europe: EU countries; measures: Value,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Country of birth: Europe: Non-EU countries; measures: Value,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Country of birth: Africa; measures: Value,Country of birth: Middle East and Asia; measures: Value,Country of birth: The Americas and the Caribbean; measures: Value,Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value,Country of birth: British Overseas ; measures: Value
2021,Bolton 001,E02000984,7680,7529,7412,98,67,23,6,2,19,19,36,73,29,13,0
2021,Bolton 002,E02000985,7418,7283,7172,97,79,13,4,1,14,14,32,77,15,10,1
2021,Bolton 003,E02000986,8394,7939,7781,140,110,20,8,2,18,18,83,344,17,10,1
2021,Bolton 004,E02000987,7299,7142,6973,147,70,58,17,2,22,22,54,76,18,8,1
2021,Bolton 005,E02000988,9040,7726,7402,310,189,92,24,5,14,14,243,1021,45,4,1
2021,Bolton 006,E02000989,8350,8236,8101,119,85,30,1,3,16,16,27,55,22,9,1
2021,Bolton 007,E02000990,8353,8004,7801,181,95,67,14,5,22,22,101,200,35,12,1
2021,Bolton 008,E02000991,7812,7092,6824,246,156,73,14,3,22,22,111,569,32,6,2
2021,Bolton 009,E02000992,6306,6188,6118,54,29,19,4,2,16,16,40,45,23,9,1
2021,Bolton 010,E02000993,8434,7702,7176,479,152,278,42,7,47,47,389,308,31,4,0
2021,Bolton 011,E02000994,9046,6442,5919,477,285,153,38,1,46,46,580,1980,37,5,2
2021,Bolton 012,E02000995,8347,7822,7592,211,96,99,13,3,19,19,210,268,37,9,1
2021,Bolton 013,E02000996,8575,8006,7599,393,128,238,23,4,14,14,321,197,44,5,2
2021,Bolton 014,E02000997,6481,6185,5990,172,93,66,6,7,23,23,63,199,26,3,5
2021,Bolton 015,E02000998,10434,7670,6468,1130,412,612,103,3,72,72,505,2208,48,1,2
2021,Bolton 016,E02000999,8534,6161,5486,610,299,255,50,6,65,65,942,1367,49,9,6
2021,Bolton 017,E02001000,9178,8139,7697,402,172,171,55,4,40,40,336,657,36,7,3
2021,Bolton 018,E02001001,8858,7124,6632,468,287,135,40,6,24,24,427,1274,25,5,3
2021,Bolton 019,E02001002,9728,9257,9004,230,128,78,21,3,23,23,189,231,47,3,1
2021,Bolton 020,E02001003,7355,6208,6029,156,110,31,6,9,23,23,243,858,36,10,0
2021,Bolton 021,E02001004,9343,5546,4931,571,305,227,35,4,44,44,1252,2492,43,4,6
2021,Bolton 022,E02001005,9845,6921,6044,815,379,289,142,5,62,62,511,2353,54,3,3
2021,Bolton 023,E02001006,8469,5612,5046,486,270,157,54,5,80,80,539,2275,42,1,0
2021,Bolton 024,E02001007,10060,9791,9634,139,106,27,5,1,18,18,85,147,27,8,2
2021,Bolton 025,E02001008,9154,6158,5518,591,349,207,34,1,49,49,715,2236,34,5,6
2021,Bolton 026,E02001009,7487,6186,5811,340,164,153,21,2,35,35,326,961,12,1,1
2021,Bolton 027,E02001010,6524,5474,5180,272,166,79,27,0,22,22,144,862,37,5,2
2021,Bolton 028,E02001011,9745,9458,9271,161,87,48,20,6,26,26,100,150,26,11,0
2021,Bolton 029,E02001012,9805,7787,7356,396,213,153,24,6,35,35,289,1695,30,4,0
2021,Bolton 030,E02001013,6104,5578,5430,141,79,38,17,7,7,7,126,369,25,6,0
2021,Bolton 031,E02001014,8465,8305,8064,224,87,89,29,19,17,17,50,80,24,6,0
2021,Bolton 032,E02001015,8204,7701,7376,289,141,109,35,4,36,36,156,296,43,5,3
2021,Bolton 033,E02001016,8705,7941,7547,370,118,205,40,7,24,24,224,502,28,8,2
2021,Bolton 034,E02001017,10773,10491,10212,255,123,99,29,4,24,24,109,132,34,7,0
