date,geography,geography code,Country of birth: Total; measures: Value,Country of birth: Europe; measures: Value,Country of birth: Europe: United Kingdom; measures: Value,Country of birth: Europe: EU countries; measures: Value,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Country of birth: Europe: Non-EU countries; measures: Value,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Country of birth: Africa; measures: Value,Country of birth: Middle East and Asia; measures: Value,Country of birth: The Americas and the Caribbean; measures: Value,Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value,Country of birth: British Overseas ; measures: Value
2021,Bolton,E08000001,295959,258279,245907,11318,5711,4436,1017,154,1054,1054,9616,26654,1129,222,59
2021,Bury,E08000002,193852,178750,170444,7499,3993,2890,489,127,807,807,2818,10966,1048,236,34
2021,Manchester,E08000003,551937,428451,378730,45259,27900,12576,4089,694,4462,4462,37872,75297,8821,977,519
2021,Oldham,E08000004,242088,212093,201825,9810,5293,2452,1949,116,458,458,4761,24191,849,154,40
2021,Rochdale,E08000005,223773,199617,189122,9883,4728,4075,948,132,612,612,5419,17822,707,174,34
2021,Salford,E08000006,269920,240629,218617,19856,8833,8235,2511,277,2156,2156,11437,14411,2834,416,193
2021,Stockport,E08000007,294774,276325,266918,8338,5288,2064,709,277,1069,1069,3296,13067,1572,485,29
2021,Tameside,E08000008,231070,215275,207201,7518,3825,2986,582,125,556,556,4203,10670,686,183,53
2021,Trafford,E08000009,235052,210803,200116,9655,6201,2475,653,326,1032,1032,4315,16758,2596,513,67
2021,Wigan,E08000010,329328,319893,308857,10077,3273,4468,2139,197,959,959,3339,4819,911,331,35
2021,Birmingham,E08000025,1144919,914214,838959,68045,37203,15851,13838,1153,7210,7210,52305,155565,20361,1027,1447
2021,Coventry,E08000026,345324,286662,248991,34802,12303,12860,9215,424,2869,2869,18850,36390,2938,332,152
2021,Dudley,E08000027,323488,306050,297930,7241,3052,2534,1470,185,879,879,3273,12325,1614,175,51
2021,Sandwell,E08000028,341833,282840,261213,19806,7095,9579,2978,154,1821,1821,9786,43547,5239,128,293
2021,Solihull,E08000029,216238,201075,193991,6404,4089,1326,764,225,680,680,3078,10166,1531,324,64
2021,Walsall,E08000030,284120,254733,242162,11983,3941,5487,2368,187,588,588,5499,21821,1839,122,106
2021,Wolverhampton,E08000031,263727,221656,203312,17150,5782,7137,4080,151,1194,1194,9414,28308,3955,167,227
