date,geography,geography code,Living arrangements: Total; measures: Value,Living arrangements: Living in a couple; measures: Value,Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value,Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value,Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value,"Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value",Living arrangements: Living in a couple: Cohabiting; measures: Value,Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value,Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value,Living arrangements: Not living in a couple; measures: Value,Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value,Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value,Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value,Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value,Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value
2021,Bolton 001,E02000984,6372,4374,3544,3522,22,4,826,800,26,1998,1220,51,90,303,334
2021,Bolton 002,E02000985,6211,4118,3370,3352,18,4,744,712,32,2093,1196,32,75,344,446
2021,Bolton 003,E02000986,6837,4202,3220,3208,12,2,980,945,35,2635,1496,73,124,494,448
2021,Bolton 004,E02000987,6024,3274,2226,2201,25,2,1046,1006,40,2750,1612,48,127,565,398
2021,Bolton 005,E02000988,7042,3734,2918,2904,14,4,812,776,36,3308,2104,121,145,499,439
2021,Bolton 006,E02000989,7075,4644,3699,3679,20,9,936,906,30,2431,1267,43,96,402,623
2021,Bolton 007,E02000990,6915,4371,3224,3205,19,3,1144,1092,52,2544,1566,48,127,423,380
2021,Bolton 008,E02000991,6207,3832,2936,2922,14,4,892,844,48,2375,1449,78,118,372,358
2021,Bolton 009,E02000992,5158,3308,2458,2444,14,2,848,816,32,1850,1043,28,79,346,354
2021,Bolton 010,E02000993,6246,3058,1973,1965,8,9,1076,1034,42,3188,2121,46,142,579,300
2021,Bolton 011,E02000994,6643,3309,2699,2691,8,7,603,544,59,3334,2108,241,162,507,316
2021,Bolton 012,E02000995,6475,3786,2981,2961,20,7,798,770,28,2689,1633,57,105,497,397
2021,Bolton 013,E02000996,6226,3043,1975,1966,9,12,1056,1008,48,3183,2152,43,143,517,328
2021,Bolton 014,E02000997,5192,3257,2530,2516,14,2,725,698,27,1935,1150,46,94,347,298
2021,Bolton 015,E02000998,7680,3794,3104,3092,12,6,684,650,34,3886,2620,276,181,483,326
2021,Bolton 016,E02000999,6252,2583,2005,1997,8,6,572,522,50,3669,2376,187,181,562,363
2021,Bolton 017,E02001000,7254,3752,2569,2553,16,9,1174,1112,62,3502,2134,156,175,572,465
2021,Bolton 018,E02001001,6528,3758,3072,3064,8,0,686,646,40,2770,1723,177,150,389,331
2021,Bolton 019,E02001002,7670,4380,3199,3175,24,5,1176,1138,38,3290,2101,59,153,538,439
